  .8887708350218696D+03  .4686729135777210D+00  .1277721868957263D+01  .4456128739032955D+00  .4230037300023268D+00 -.1106554426150583D-03      0  .889E+03  .469E+00  .128E+01  .446E+00  .423E+00  .111E-03
 
 
  .3651549185397588D+02  .1301706335713780D+00  .1385907422086613D+01  .5258925617993190D+00  .4226622771585579D+00 -.1387836097873258D+00    241  .365E+02  .130E+00  .139E+01  .526E+00  .423E+00  .139E+00
 
  .3651635952775269D+02  .1301896971266722D+00  .1384351422691113D+01  .5255630939834044D+00  .4228197024586262D+00 -.1387836003334453D+00    241  .365E+02  .130E+00  .138E+01  .526E+00  .423E+00  .139E+00
 
  .3651674324089827D+02  .1302211669457309D+00  .1384767037552922D+01  .5257346226075161D+00  .4226788046655260D+00 -.1387836040780117D+00    241  .365E+02  .130E+00  .138E+01  .526E+00  .423E+00  .139E+00
 
  .3651625547298504D+02  .1301681776353692D+00  .1386942920772858D+01  .5259814010682676D+00  .4226980760771015D+00 -.1387836085894020D+00    241  .365E+02  .130E+00  .139E+01  .526E+00  .423E+00  .139E+00
 
  .3651666734489328D+02  .1302270556996034D+00  .1386512188034230D+01  .5258333874852876D+00  .4227844806778445D+00 -.1387836052048079D+00    241  .365E+02  .130E+00  .139E+01  .526E+00  .423E+00  .139E+00
 
  .3651607874622082D+02  .1302006578858898D+00  .1385399983199201D+01  .5258906427237997D+00  .4225890892919358D+00 -.1387836019865766D+00    241  .365E+02  .130E+00  .139E+01  .526E+00  .423E+00  .139E+00
 
 
  .7421298855180526D+03  .8864943290764905D+00  .9054853621430161D+00  .4957623691743996D+00  .2516694908270936D+00 -.1404351296861249D-02      0  .742E+03  .886E+00  .905E+00  .496E+00  .252E+00  .140E-02
 
  .1131972520859899D+03  .3831954429546350D+00  .4423780482739108D+01  .3720438893754240D+00  .2969683069255987D+00 -.1790936028332591D-02      0  .113E+03  .383E+00  .442E+01  .372E+00  .297E+00  .179E-02
 
  .1595999341363087D+03  .1315953382670858D+00  .2242049882766814D+01  .2504026832293732D+00  .6991617010436775D+00 -.1000545546253713D-02      0  .160E+03  .132E+00  .224E+01  .250E+00  .699E+00  .100E-02
 
  .4230107303722812D+03  .3153181909189179D+00  .7443487363608314D+00  .7683383621127990D+00  .3997711664064654D+00 -.4493284254063641D-03      0  .423E+03  .315E+00  .744E+00  .768E+00  .400E+00  .449E-03
 
  .8608190528865993D+03  .1925470550044193D+00  .8608203816510833D+00  .3226077597227915D+00  .5648167642600913D+00 -.5497632118381043D-04      0  .861E+03  .193E+00  .861E+00  .323E+00  .565E+00  .550E-04
 
  .5697734067075762D+02  .7102113101678953D+00  .5123364360594827D+00  .7790361859738064D+00  .2130509423152781D+00 -.6489003800198112D-02      0  .570E+02  .710E+00  .512E+00  .779E+00  .213E+00  .649E-02
 
 
  .7548385797500411D+02  .6176031575522971D+00  .9534699196204435D+00  .5600152938442147D+00  .2018470332545305D+00 -.3855394276159489D-01    568  .755E+02  .618E+00  .953E+00  .560E+00  .202E+00  .386E-01
 
  .7548426420763043D+02  .6175910530531275D+00  .9532718302935368D+00  .5600035314640600D+00  .2018099736107337D+00 -.3855394090124934D-01    568  .755E+02  .618E+00  .953E+00  .560E+00  .202E+00  .386E-01
 
  .7548198687182546D+02  .6175848677015688D+00  .9535607764875052D+00  .5600416966151856D+00  .2018503000600277D+00 -.3855393980728479D-01    568  .755E+02  .618E+00  .954E+00  .560E+00  .202E+00  .386E-01
 
  .7548188345875748D+02  .6175853455811928D+00  .9535289872110813D+00  .5601240276754949D+00  .2018094932258125D+00 -.3855394063425262D-01    568  .755E+02  .618E+00  .954E+00  .560E+00  .202E+00  .386E-01
 
  .7547989065309713D+02  .6175783405514339D+00  .9536967001585479D+00  .5600103537090360D+00  .2018380315130930D+00 -.3855394088005520D-01    568  .755E+02  .618E+00  .954E+00  .560E+00  .202E+00  .386E-01
 
